filename,datetime,latitude,latitudeRef,longitude,longitudeRef
IMG_0306.JPG,2010:02:14 17:18:51,,,,
IMG_0307.JPG,2010:02:14 17:19:02,,,,
IMG_0308.JPG,2010:02:14 17:24:52,,,,
IMG_0309.JPG,2010:02:14 17:24:57,,,,
IMG_0310.JPG,2010:02:14 17:25:57,,,,
IMG_0311.JPG,2010:02:14 17:26:05,,,,
IMG_0312.JPG,2010:02:14 17:32:09,,,,
IMG_0313.JPG,2010:02:16 13:37:53,,,,
IMG_0314.JPG,2010:02:16 14:42:06,,,,
IMG_0315.JPG,2010:02:16 14:42:22,,,,
IMG_0316.JPG,2010:02:17 21:55:31,,,,
IMG_0317.JPG,2010:02:20 16:11:45,,,,
IMG_0318.JPG,2010:02:20 16:12:02,,,,
IMG_0319.JPG,2010:02:20 16:12:33,,,,
IMG_0320.JPG,2010:02:20 16:13:22,,,,
IMG_0321.JPG,2010:02:20 16:14:37,,,,
IMG_0322.JPG,2010:02:20 16:19:17,,,,
IMG_0323.JPG,2010:02:20 16:36:28,,,,
IMG_0324.JPG,2010:02:20 16:37:57,,,,
IMG_0325.JPG,2010:02:20 16:38:06,,,,
IMG_0326.JPG,2010:02:20 16:38:23,,,,
IMG_0327.JPG,2010:02:20 16:40:08,,,,
IMG_0328.JPG,2010:02:20 16:40:20,,,,
IMG_0329.JPG,2010:02:20 16:41:19,,,,
IMG_0330.JPG,2010:02:20 16:47:04,,,,
IMG_0331.JPG,2010:02:20 20:30:00,,,,
IMG_0332.JPG,2010:02:20 20:30:07,,,,
IMG_0333.JPG,2010:02:20 20:30:13,,,,
IMG_0334.JPG,2010:02:20 20:43:04,,,,
IMG_0335.JPG,2010:02:21 14:45:57,,,,
IMG_0336.JPG,2010:02:21 14:46:11,,,,
IMG_0337.JPG,2010:02:21 14:46:17,,,,
IMG_0338.JPG,2010:02:21 14:46:22,,,,
IMG_0339.JPG,2010:02:21 14:46:27,,,,
IMG_0340.JPG,2010:02:21 14:46:32,,,,
IMG_0341.JPG,2010:02:21 14:46:38,,,,
IMG_0342.JPG,2010:02:21 22:52:20,,,,
IMG_0343.JPG,2010:02:21 22:52:25,,,,
IMG_0344.JPG,2010:02:21 22:53:03,,,,
IMG_0345.JPG,2010:02:21 22:53:18,,,,
IMG_0346.JPG,2010:02:21 22:53:36,,,,
IMG_0347.JPG,2010:02:21 22:53:53,,,,
IMG_0348.JPG,2010:02:21 22:54:08,,,,
IMG_0349.JPG,2010:02:22 17:06:29,,,,
IMG_0350.JPG,2010:02:22 17:09:14,,,,
IMG_0351.JPG,2010:02:22 17:09:38,,,,
IMG_0352.JPG,2010:02:22 17:09:44,,,,
IMG_0353.JPG,2010:02:22 17:11:18,,,,
IMG_0354.JPG,2010:02:22 17:15:16,,,,
IMG_0355.JPG,2010:02:22 17:15:24,,,,
IMG_0356.JPG,2010:02:22 17:17:57,,,,
IMG_0357.JPG,2010:02:22 17:19:44,,,,
IMG_0358.JPG,2010:02:22 17:20:57,,,,
IMG_0359.JPG,2010:02:22 17:21:13,,,,
IMG_0360.JPG,2010:02:22 17:21:19,,,,
IMG_0361.JPG,2010:02:22 17:21:26,,,,
IMG_0362.JPG,2010:02:22 17:21:32,,,,
IMG_0363.JPG,2010:02:22 17:21:43,,,,
IMG_0364.JPG,2010:02:22 17:21:56,,,,
IMG_0365.JPG,2010:02:22 17:22:04,,,,
IMG_0366.JPG,2010:02:22 17:22:18,,,,
IMG_0367.JPG,2010:02:22 17:22:24,,,,
IMG_0368.JPG,2010:02:22 17:22:29,,,,
IMG_0369.JPG,2010:02:22 17:22:41,,,,
IMG_0370.JPG,2010:02:22 17:22:49,,,,
IMG_0371.JPG,2010:02:22 17:22:56,,,,
IMG_0372.JPG,2010:02:22 17:23:05,,,,
IMG_0373.JPG,2010:02:22 17:23:09,,,,
IMG_0374.JPG,2010:02:22 17:23:14,,,,
IMG_0375.JPG,2010:02:22 17:23:19,,,,
IMG_0376.JPG,2010:02:22 17:23:25,,,,
IMG_0377.JPG,2010:02:22 17:23:31,,,,
IMG_0378.JPG,2010:02:22 17:23:55,,,,
IMG_0379.JPG,2010:02:22 17:24:00,,,,
IMG_0380.JPG,2010:02:22 17:24:16,,,,
IMG_0381.JPG,2010:02:22 17:24:39,,,,
IMG_0382.JPG,2010:02:22 17:30:31,,,,
IMG_0383.JPG,2010:02:22 17:30:35,,,,
IMG_0384.JPG,2010:02:22 17:31:04,,,,
IMG_0385.JPG,2010:02:22 17:31:14,,,,
IMG_0386.JPG,2010:02:22 17:31:21,,,,
IMG_0387.JPG,2010:02:22 17:32:45,,,,
IMG_0388.JPG,2010:02:22 17:32:51,,,,
IMG_0389.JPG,2010:02:22 17:33:02,,,,
IMG_0390.JPG,2010:02:22 17:33:20,,,,
IMG_0391.JPG,2010:02:22 17:33:56,,,,
IMG_0392.JPG,2010:02:22 17:34:01,,,,
IMG_0393.JPG,2010:02:22 17:34:07,,,,
IMG_0394.JPG,2010:02:22 17:34:34,,,,
IMG_0395.JPG,2010:02:22 17:35:14,,,,
IMG_0396.JPG,2010:02:22 17:40:23,,,,
IMG_0397.JPG,2010:02:22 17:41:07,,,,
IMG_0398.JPG,2010:02:22 17:41:18,,,,
IMG_0399.JPG,2010:02:22 17:41:25,,,,
IMG_0400.JPG,2010:02:22 17:41:32,,,,
IMG_0401.JPG,2010:02:22 17:41:40,,,,
IMG_0402.JPG,2010:02:22 17:46:36,,,,
IMG_0403.JPG,2010:02:22 17:46:42,,,,
IMG_0404.JPG,2010:02:22 17:46:49,,,,
IMG_0405.JPG,2010:02:22 17:46:54,,,,
IMG_0406.JPG,2010:02:22 17:47:05,,,,
IMG_0407.JPG,2010:02:22 17:47:10,,,,
IMG_0408.JPG,2010:02:22 17:47:15,,,,
IMG_0409.JPG,2010:02:22 17:47:20,,,,
IMG_0410.JPG,2010:02:22 17:47:26,,,,
IMG_0411.JPG,2010:02:22 17:49:24,,,,
IMG_0412.JPG,2010:02:22 17:49:42,,,,
IMG_0413.JPG,2010:02:22 17:49:48,,,,
IMG_0414.JPG,2010:02:22 17:53:05,,,,
IMG_0415.JPG,2010:02:22 17:53:10,,,,
IMG_0416.JPG,2010:02:22 17:53:15,,,,
IMG_0417.JPG,2010:02:22 17:53:19,,,,
IMG_0418.JPG,2010:02:22 17:53:31,,,,
IMG_0419.JPG,2010:02:22 17:53:42,,,,
IMG_0420.JPG,2010:02:22 17:53:48,,,,
IMG_0421.JPG,2010:02:22 17:54:52,,,,
IMG_0422.JPG,2010:02:22 17:54:57,,,,
IMG_0423.JPG,2010:02:22 17:55:15,,,,
IMG_0424.JPG,2010:02:22 17:55:24,,,,
IMG_0425.JPG,2010:02:22 17:57:37,,,,
IMG_0426.JPG,2010:02:22 17:58:22,,,,
IMG_0427.JPG,2010:02:22 17:59:48,,,,
IMG_0428.JPG,2010:02:22 18:03:34,,,,
IMG_0429.JPG,2010:02:22 18:03:40,,,,
IMG_0430.JPG,2010:02:22 18:03:49,,,,
IMG_0431.JPG,2010:02:22 18:04:00,,,,
IMG_0432.JPG,2010:02:22 18:04:09,,,,
IMG_0433.JPG,2010:02:22 18:04:16,,,,
IMG_0434.JPG,2010:02:22 18:04:22,,,,
IMG_0435.JPG,2010:02:22 18:04:28,,,,
IMG_0436.JPG,2010:02:22 18:05:13,,,,
IMG_0437.JPG,2010:02:22 18:05:19,,,,
IMG_0438.JPG,2010:02:23 16:58:14,,,,
IMG_0439.JPG,2010:02:23 16:59:16,,,,
IMG_0440.JPG,2010:02:23 16:59:35,,,,
IMG_0441.JPG,2010:02:23 16:59:41,,,,
IMG_0442.JPG,2010:02:23 17:01:04,,,,
IMG_0443.JPG,2010:02:23 17:01:20,,,,
IMG_0444.JPG,2010:02:23 17:01:27,,,,
IMG_0445.JPG,2010:02:23 17:03:44,,,,
IMG_0446.JPG,2010:02:23 17:05:07,,,,
IMG_0447.JPG,2010:02:23 17:05:58,,,,
IMG_0448.JPG,2010:02:23 17:09:04,,,,
IMG_0449.JPG,2010:02:23 17:11:47,,,,
IMG_0450.JPG,2010:02:23 17:12:00,,,,
IMG_0451.JPG,2010:02:23 17:13:04,,,,
IMG_0452.JPG,2010:02:23 17:13:13,,,,
